shiptype,length,breadth,draught,longtitude,latitude,sog,cog,th,tss
71,151,23,8.3,9.0,38.42,10.0,218.5,222,1
71,151,23,8.3,9.0,38.42,11.4,222.4,230,1
71,151,23,8.3,9.01,38.42,12.2,232.8,239,1
71,151,23,8.3,9.01,38.42,13.1,240.3,243,1
71,151,23,8.3,9.02,38.42,14.2,244.7,248,1
71,151,23,8.3,9.02,38.41,15.8,246.5,248,1
71,151,23,8.3,9.03,38.41,16.3,245.5,247,1
71,151,23,8.3,9.03,38.41,16.5,245.9,247,1
71,151,23,8.3,9.04,38.41,16.7,245.6,247,1
71,151,23,8.3,9.05,38.41,16.7,246.6,248,1
71,151,23,8.3,9.05,38.4,16.8,246.6,248,1
71,151,23,8.3,9.06,38.4,16.9,246.6,248,1
71,151,23,8.3,9.06,38.4,17.0,246.9,248,1
71,151,23,8.3,9.07,38.4,17.0,246.9,248,1
71,151,23,8.3,9.07,38.4,17.0,246.9,248,1
71,151,23,8.3,9.08,38.39,17.0,247.3,248,1
71,151,23,8.3,9.09,38.39,17.1,247.3,248,1
71,151,23,8.3,9.09,38.39,17.0,247.6,248,1
71,151,23,8.3,9.1,38.39,17.0,248.0,248,1
71,151,23,8.3,9.1,38.39,17.0,248.0,248,1
71,151,23,8.3,9.11,38.38,17.0,248.3,248,1
71,151,23,8.3,9.11,38.38,17.0,248.0,248,1
71,151,23,8.3,9.12,38.38,17.0,248.0,248,1
71,151,23,8.3,9.12,38.38,16.9,248.3,248,1
71,151,23,8.3,9.13,38.38,16.9,248.0,248,1
71,151,23,8.3,9.14,38.38,16.9,248.0,248,1
71,151,23,8.3,9.14,38.37,16.9,247.6,248,1
71,151,23,8.3,9.15,38.37,16.8,248.3,248,1
71,151,23,8.3,9.15,38.37,16.8,248.0,248,1
71,151,23,8.3,9.16,38.37,16.8,247.3,248,1
71,151,23,8.3,9.16,38.37,16.8,247.6,248,1
71,151,23,8.3,9.17,38.36,16.8,247.3,248,1
71,151,23,8.3,9.18,38.36,16.8,248.0,248,1
71,151,23,8.3,9.18,38.36,16.9,248.0,248,1
71,151,23,8.3,9.19,38.36,16.7,251.2,254,1
71,151,23,8.3,9.19,38.36,16.6,252.5,256,1
71,151,23,8.3,9.2,38.36,16.4,257.8,261,1
71,151,23,8.3,9.2,38.36,16.4,261.2,263,1
71,151,23,8.3,9.21,38.36,16.4,266.2,268,1
71,151,23,8.3,9.22,38.36,16.4,267.5,270,1
71,151,23,8.3,9.22,38.36,16.3,271.8,274,1
71,151,23,8.3,9.23,38.36,16.2,275.6,276,1
71,151,23,8.3,9.24,38.36,16.1,278.4,282,1
71,151,23,8.3,9.24,38.36,15.9,288.9,295,1
71,151,23,8.3,9.25,38.36,15.9,299.1,301,1
71,151,23,8.3,9.25,38.36,16.2,298.5,300,1
71,151,23,8.3,9.26,38.36,16.5,298.2,300,1
71,151,23,8.3,9.26,38.37,16.6,298.2,300,1
71,151,23,8.3,9.27,38.37,16.7,298.9,302,1
71,151,23,8.3,9.27,38.37,16.6,300.9,302,1
71,151,23,8.3,9.28,38.37,16.7,299.9,302,1
71,151,23,8.3,9.28,38.38,16.7,300.6,302,1
71,151,23,8.3,9.29,38.38,16.8,301.3,302,1
71,151,23,8.3,9.29,38.38,16.8,300.2,302,1
71,151,23,8.3,9.3,38.38,16.8,300.6,302,1
71,151,23,8.3,9.3,38.39,16.7,300.9,302,1
71,151,23,8.3,9.31,38.39,16.6,299.9,302,1
71,151,23,8.3,9.32,38.39,16.7,300.2,302,1
71,151,23,8.3,9.32,38.39,16.8,300.6,302,1
71,151,23,8.3,9.33,38.4,16.9,299.9,302,1
71,151,23,8.3,9.33,38.4,16.9,300.3,302,1
71,151,23,8.3,9.34,38.4,16.8,299.9,302,1
71,151,23,8.3,9.34,38.4,16.7,300.2,302,1
71,151,23,8.3,9.35,38.41,16.7,299.9,302,1
71,151,23,8.3,9.35,38.41,16.7,300.2,302,1
71,151,23,8.3,9.36,38.41,16.7,299.9,302,1
71,151,23,8.3,9.36,38.41,16.8,299.9,302,1
71,151,23,8.3,9.37,38.42,16.7,299.5,302,1
71,151,23,8.3,9.37,38.42,16.6,299.5,302,1
71,151,23,8.3,9.38,38.42,16.7,299.2,302,1
71,151,23,8.3,9.39,38.42,16.7,299.5,302,1
71,151,23,8.3,9.39,38.43,16.7,299.9,302,1
71,151,23,8.3,9.4,38.43,16.7,297.9,300,1
71,151,23,8.3,9.4,38.43,16.8,298.6,301,1
71,151,23,8.3,9.41,38.43,16.8,300.5,305,1
71,151,23,8.3,9.41,38.44,16.4,306.7,312,1
71,151,23,8.3,9.42,38.44,16.2,315.3,320,1
71,151,23,8.3,9.42,38.44,16.2,317.8,320,1
71,151,23,8.3,9.42,38.45,16.2,317.5,320,1
71,151,23,8.3,9.43,38.45,16.1,317.8,320,1
71,151,23,8.3,9.43,38.45,16.1,317.5,320,1
71,151,23,8.3,9.44,38.46,16.1,317.5,320,1
71,151,23,8.3,9.44,38.46,16.0,316.7,320,1
